No,HEX 코드,HEX 색상,메모,,
,#5C4058,#5C4058,플럼 퍼플 램프,,플럼 600
,#ECE2CE,#ECE2CE,고양이 캐릭터,크림냥 바디,[캐릭터] 아기냥 기본 몸색
,#C8B89B,#C8B89B,고양이 캐릭터,크림냥 셰이드,[캐릭터] 아기냥 그림자/무늬
,#9A9288,#9A9288,고양이 캐릭터,그레이냥 바디,[캐릭터] 어른냥 기본 몸색
,#5F5A52,#5F5A52,고양이 캐릭터,그레이냥 셰이드,[캐릭터] 어른냥 그림자/무늬
,#2E2B27,#2E2B27,고양이 캐릭터,블랙냥 바디,[캐릭터] 서브 캐릭터 후보
,#4A443C,#4A443C,고양이 캐릭터,블랙냥 하이라이트,[캐릭터] 블랙냥 밝은 면
,#D3A9A7,#D3A9A7,고양이 캐릭터,코/발바닥,[캐릭터] 더스티 로즈로 복귀 (v0.4)
,#7A6A55,#7A6A55,고양이 캐릭터,코/발바닥 모노톤,[캐릭터] 흑백 인쇄/모노톤 버전용
,#16140F,#16140F,고양이 캐릭터,눈동자/라인,[캐릭터] 외곽선. 최암색
,#F7F3EA,#F7F3EA,고양이 캐릭터,수염/양말,[캐릭터] 흰 부위 (순백 대신 웜화이트)
